station_id,route_seq,stop_id,name_en,lat,lon,cumulative_km
1,1,13074,[CTB] YAU TONG|[KMB] YAU TONG BUS TERMINUS,22.29585,114.2384,0
2,6,8198,[KMB] KAI TIN SHOPPING CENTRE,22.30848,114.23433,1.602
3,8,1032,"[CTB] HING TIN ESTATE, LIN TAK ROAD|[KMB] HING TIN",22.31288,114.23921,2.33
4,12,4056,[KMB] SAU MAU PING (CENTRAL) BUS TERMINUS,22.31885,114.23143,3.415
5,15,1124,[CTB] SHUN TIN ESTATE|[KMB+CTB] SHUN TIN BUS TERMINUS/<BR>SHUN TIN ESTATE|[KMB] ,22.32642,114.22672,4.406
6,21,1075,[CTB] PING SHEK ESTATE|[KMB+CTB] NGAU CHI WAN BBI - CHOI HUNG STATION/<BR>PING S,22.33413,114.20992,6.79
